"IDS","IDL","TEL","LATITUDE","LONGITUDE"
20002397,37,"0901234567",47,32,5,04
20002390,38,"0234567890",45,46,9,19
20002391,39,"0345678901",43,3,5,37
20002392,40,"0456789012",41,9,12,5
20002393,41,"0567890123",51,51,-0,13
20002394,43,"0678901234",43,49,-1,47
20002395,44,"0789012345",49,18,-0,35
20002396,45,"0890123456",49,9,2,3
20002389,46,"0123456789",48,86,2,35
20002398,47,"0123456789",48,11,-1,68
20002399,48,"0234567890",43,12,5,93
20002400,49,"0345678901",45,44,4,39
20002401,50,"0456789012",49,49,0,1
20002402,51,"0567890123",47,47,-0,55
20002403,52,"0678901234",45,77,3,08
20002404,53,"0789012345",43,84,4,36
20002405,54,"0890123456",45,83,1,26
20002406,55,"0901234567",47,99,0,2
20002407,56,"0123456789",44,84,-0,58
20002408,57,"0234567890",43,53,5,45
20002409,58,"0123456789",48,86,2,35
20002410,37,"0234567890",48,85,2,34
20002411,37,"0345678901",48,86,2,33
20002412,37,"0456789012",48,85,2,32
20002413,37,"0567890123",48,86,2,31
20002414,37,"0678901234",48,85,2,3
20002415,39,"0789012345",43,3,5,37
20002416,39,"0890123456",43,29,5,36
20002417,39,"0901234567",43,3,5,38
20002418,39,"0123456789",43,29,5,39
20002419,39,"0234567890",43,3,5,4
20002420,39,"0345678901",43,29,5,41
20002421,41,"0456789012",47,21,-1,55
20002422,41,"0567890123",47,22,-1,56
20002423,41,"0678901234",47,23,-1,57
20002424,41,"0789012345",47,24,-1,58
20002425,41,"0890123456",47,25,-1,59
20002426,41,"0901234567",47,26,-1,6
20002427,40,"0123456789",43,6,1,44
20002428,40,"0234567890",43,61,1,43
20002429,40,"0345678901",43,62,1,42
20002430,40,"0456789012",43,63,1,41
20002431,40,"0567890123",43,64,1,4
20002432,40,"0678901234",43,65,1,39
20002433,42,"0789012345",43,61,3,87
20002434,42,"0890123456",43,62,3,88
20002435,42,"0901234567",43,63,3,89
